item,source_id,class,country,analyser,timestamp,menu,title,count
1190,33546,10,afghanistan,Osmosis_Way_Approximate,2023-01-31 02:56:29+00:00,approximate way,Approximate geometry of railway,3
9006,16466,9006022,afghanistan,Sax,2023-01-31 02:56:29+00:00,numeric,Airport tagging,3
1250,16501,1,afghanistan,Osmosis_Highway_Bad_Intersection,2023-01-31 02:56:29+00:00,objects intersection,Intersection of unrelated highway and power objects,3
4110,16466,41101,afghanistan,Sax,2023-01-31 02:56:29+00:00,incorrect layer,Landuse feature not on ground,3
9015,16466,9015044,afghanistan,Sax,2023-01-31 02:56:29+00:00,openrailwaymap,{{0.key}}={{0.value}} without name,3
0,16472,5,afghanistan,Osmosis_Building_Overlaps,2023-01-31 02:56:29+00:00,overlapping building,Large building intersection cluster,3
3070,16466,3070,afghanistan,Sax,2023-01-31 02:56:29+00:00,multiple values,Multiple values,3
1060,16485,1,afghanistan,Osmosis_Boundary_Intersect,2023-01-31 02:56:29+00:00,boundary intersect,Boundary intersection,3
6060,16487,3,afghanistan,Osmosis_Boundary_Administrative,2023-01-31 02:56:29+00:00,erroneous boundary,Lone boundary fragment,3
3031,16466,30315,afghanistan,Sax,2023-01-31 02:56:29+00:00,wikipedia,Invalid wikipedia suffix,3
0,16472,3,afghanistan,Osmosis_Building_Overlaps,2023-01-31 02:56:29+00:00,overlapping building,Building too small,3
2010,16470,2,afghanistan,Osmosis_Roundabout,2023-01-31 02:56:29+00:00,junction=roundabout,Roundabout without right of way,3
3031,427620,4,afghanistan,Wikidata,2023-01-30 21:56:55+00:00,wikipedia,The distance between OSM object and linked Wikidata item is unusually large,3
3093,16466,30931,afghanistan,Sax,2023-01-31 02:56:29+00:00,URL,The URL contains a space,2
3031,427620,5,afghanistan,Wikidata,2023-01-30 21:56:55+00:00,wikipedia,Characteristics of the OSM tags and linked Wikidata item do not match,2
9100,16466,91002,afghanistan,Sax,2023-01-31 02:56:29+00:00,power transformer,On Power Transformers use voltage:primary=* and voltage:secondary=* in place of voltage,2
9005,16466,9005002,afghanistan,Sax,2023-01-31 02:56:29+00:00,multiple,empty value in semicolon-separated ''{{0.key}}'',2
7090,16490,3,afghanistan,Osmosis_Highway_Features,2023-01-31 02:56:29+00:00,node on ways,Lone highway or barrier node,2
4110,16466,41109,afghanistan,Sax,2023-01-31 02:56:29+00:00,incorrect layer,Waterway/water above ground and no bridge,2
